"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US48201552800","Census Tract 5528, Harris County, Texas","9371","825"
"1400000US48439122002","Census Tract 1220.02, Tarrant County, Texas","4930","587"
"1400000US48491020115","Census Tract 201.15, Williamson County, Texas","4790","314"
"1400000US48061010700","Census Tract 107, Cameron County, Texas","2778","332"
"1400000US48185180301","Census Tract 1803.01, Grimes County, Texas","4980","445"
"1400000US48423001700","Census Tract 17, Smith County, Texas","9369","1054"
"1400000US48201312200","Census Tract 3122, Harris County, Texas","2002","346"
"1400000US48113017301","Census Tract 173.01, Dallas County, Texas","6137","606"
"1400000US48439111015","Census Tract 1110.15, Tarrant County, Texas","2223","252"
"1400000US48201454302","Census Tract 4543.02, Harris County, Texas","6528","608"
"1400000US48467950300","Census Tract 9503, Van Zandt County, Texas","5017","403"
"1400000US48113007101","Census Tract 71.01, Dallas County, Texas","2331","311"
"1400000US48141002400","Census Tract 24, El Paso County, Texas","3012","401"
"1400000US48221160207","Census Tract 1602.07, Hood County, Texas","7470","640"
"1400000US48027023105","Census Tract 231.05, Bell County, Texas","13626","1039"
"1400000US48201233103","Census Tract 2331.03, Harris County, Texas","5374","478"
"1400000US48039661300","Census Tract 6613, Brazoria County, Texas","2460","244"
"1400000US48085031624","Census Tract 316.24, Collin County, Texas","4161","341"
"1400000US48453002402","Census Tract 24.02, Travis County, Texas","8720","715"
"1400000US48439113104","Census Tract 1131.04, Tarrant County, Texas","4143","422"
"1400000US48201232401","Census Tract 2324.01, Harris County, Texas","8938","714"
"1400000US48201251901","Census Tract 2519.01, Harris County, Texas","10259","726"
"1400000US48027021301","Census Tract 213.01, Bell County, Texas","5244","464"
"1400000US48027022402","Census Tract 224.02, Bell County, Texas","7835","594"
"1400000US48369950200","Census Tract 9502, Parmer County, Texas","4861","248"
"1400000US48215023512","Census Tract 235.12, Hidalgo County, Texas","5145","317"
"1400000US48439101302","Census Tract 1013.02, Tarrant County, Texas","3261","430"
"1400000US48113016406","Census Tract 164.06, Dallas County, Texas","5466","498"
"1400000US48303010102","Census Tract 101.02, Lubbock County, Texas","2081","255"
"1400000US48215022103","Census Tract 221.03, Hidalgo County, Texas","6337","783"
"1400000US48201342400","Census Tract 3424, Harris County, Texas","3358","366"
"1400000US48491020807","Census Tract 208.07, Williamson County, Texas","10703","669"
"1400000US48113002100","Census Tract 21, Dallas County, Texas","2162","163"
"1400000US48213950300","Census Tract 9503, Henderson County, Texas","8080","678"
"1400000US48049951100","Census Tract 9511, Brown County, Texas","4405","277"
"1400000US48233950600","Census Tract 9506, Hutchinson County, Texas","3162","401"
"1400000US48439105006","Census Tract 1050.06, Tarrant County, Texas","2342","486"
